id;dumptime;playername;premium;server;religion;prayer;channeling;preaching;exorcism;hammers;warhammer;healing;firstaid;clubs;hugeclub;archery;shortbow;mediumbow;longbow;thievery;stealing;lockpicking;traps;warmachines;catapults;trebuchets;ballistae;polearms;staff;longspear;halberd;prospecting;coalmaking;milling;tracking;paving;archaeology;restoration;climbing;thatching;firemaking;pottery;mining;digging;ropemaking;smithing;blacksmithing;locksmithing;jewelrysmithing;metallurgy;weaponsmithing;bladessmithing;weaponheadssmithing;armoursmithing;shieldsmithing;chainarmoursmithing;platearmoursmithing;tailoring;clothtailoring;leatherworking;masonry;stonecutting;cooking;hotfoodcooking;baking;dairyfoodmaking;butchering;beverages;nature;fishing;gardening;foraging;botanizing;animaltaming;forestry;farming;milking;meditating;animalhusbandry;papyrusmaking;toys;yoyo;puppeteering;fighting;defensivefighting;normalfighting;weaponlessfighting;aggressivefighting;shieldbashing;taunting;miscellaneousitems;shovel;rake;saw;pickaxe;repairing;sickle;scythe;hammer;stonechisel;alchemy;naturalsubstances;shields;mediummetalshield;smallwoodenshield;smallmetalshield;largemetalshield;mediumwoodenshield;largewoodenshield;axes;hatchet;smallaxe;largeaxe;hugeaxe;swords;longsword;shortsword;twohandedsword;knives;carvingknife;butcheringknife;woodcutting;mauls;mediummaul;smallmaul;largemaul;carpentry;bowyery;fletching;finecarpentry;toymaking;shipbuilding;mind;mindlogic;mindspeed;soul;souldepth;soulstrength;body;bodystrength;bodystamina;bodycontrol;faith;favor;alignment
1;schemas Branding;Iraq deposit;back-end synthesizing fuchsia;array action-items;14;100;4;54;60;99;85;67;83;9;17;38;92;5;12;9;98;87;64;25;52;78;95;94;48;35;18;38;90;75;8;57;64;4;21;79;22;66;8;74;48;43;62;33;44;96;40;97;21;59;83;61;98;68;58;72;59;77;7;46;71;91;85;70;16;93;91;75;20;20;30;31;49;12;9;36;91;14;11;69;17;31;99;69;12;25;64;85;97;64;27;59;82;43;56;75;71;82;32;43;24;27;24;81;4;97;59;93;42;39;92;50;72;20;57;20;96;88;35;42;62;78;17;95;36;22;62;41;41;43;40;100;42;65;81;50;67;91;25;29;48
2;Branch card initiatives;system Supervisor maximize;Awesome;Decentralized Directives;41;37;55;12;3;28;91;72;33;76;58;40;56;37;59;91;6;52;39;62;86;53;88;77;6;82;85;12;43;65;9;4;9;71;42;97;18;70;81;4;67;91;36;52;79;47;50;59;81;97;1;49;22;5;37;58;24;83;14;76;100;51;3;15;64;64;24;12;27;74;21;91;21;28;20;68;97;29;49;6;53;73;40;79;45;37;98;17;81;68;26;13;38;60;6;4;10;92;66;90;99;44;68;50;79;30;51;99;98;74;22;26;97;58;74;95;53;78;14;18;76;30;67;57;12;59;100;8;96;6;5;88;85;55;79;48;67;79;40;89;94
3;framework Investor;Guarani;secondary South;Table Car Concrete;89;76;3;33;100;24;99;19;58;28;98;23;45;72;60;14;47;80;57;67;17;75;24;13;100;38;12;82;68;21;89;99;15;62;93;64;30;36;5;14;92;52;47;73;77;72;41;39;28;36;55;12;75;33;10;74;43;56;34;99;64;73;77;77;33;94;38;66;21;58;89;11;10;79;46;94;39;37;2;74;84;47;2;72;4;50;6;72;84;90;37;45;39;57;95;17;52;88;75;55;53;90;53;84;28;99;67;47;25;16;12;10;64;21;82;7;96;27;40;46;25;29;54;83;46;34;78;99;76;27;85;86;47;91;40;12;11;80;26;92;61
4;Fundamental Fiji;Wooden invoice Account;Metal robust;Morocco model Concrete;52;39;51;61;58;42;91;4;52;90;37;31;69;15;15;43;37;44;50;2;95;7;11;17;12;88;34;61;12;3;59;32;33;77;8;86;76;50;96;33;50;60;94;68;69;52;54;39;34;84;80;35;55;63;75;26;42;7;91;27;54;59;33;39;27;70;1;70;7;15;100;11;8;16;34;37;85;85;94;2;68;71;34;71;70;50;31;97;63;14;88;39;98;58;73;96;89;100;51;14;34;55;37;49;75;63;48;70;82;87;10;54;78;42;57;47;78;100;99;75;89;34;82;31;57;78;77;33;73;49;92;38;89;79;58;15;9;69;17;68;50
5;Forward;azure;up withdrawal AI;Bedfordshire;96;31;45;68;67;65;46;67;9;50;25;88;5;81;4;100;3;48;73;92;22;19;43;17;80;49;73;54;53;15;70;86;24;78;48;55;69;21;35;26;50;55;14;62;13;46;48;14;5;95;25;19;68;77;45;9;2;41;65;59;10;91;61;6;65;29;67;81;56;41;93;77;63;3;65;97;58;17;59;20;52;37;93;93;39;54;50;5;75;11;93;31;71;18;16;51;95;37;61;73;77;91;93;41;48;87;89;37;96;8;34;93;9;29;52;57;58;27;9;88;23;62;72;31;64;96;46;50;81;91;48;24;92;85;65;38;37;39;91;5;50
6;array action-items;Facilitator calculating;Paradigm Forward Hat;holistic haptic;37;35;20;90;37;78;59;6;28;33;4;96;40;42;32;78;22;96;93;65;64;89;24;48;42;63;43;12;75;23;66;93;2;97;25;42;84;86;95;90;64;10;25;24;48;68;71;60;9;62;59;36;38;52;84;57;3;88;70;83;18;9;99;57;42;53;49;48;19;38;90;14;1;51;5;39;2;29;28;68;34;30;6;36;42;57;40;45;44;32;47;15;79;89;64;51;42;19;3;96;73;94;27;59;62;35;39;35;80;42;52;67;29;41;7;93;67;38;26;30;69;39;36;85;31;49;46;49;87;58;39;95;36;84;76;54;30;67;86;73;94
7;instruction;invoice;auxiliary withdrawal;Computers generate ADP;38;37;47;97;25;16;39;98;33;62;49;89;3;79;79;1;21;52;86;4;93;2;4;41;50;67;82;34;67;85;45;30;9;29;20;39;75;90;87;6;46;1;36;75;32;63;36;95;13;13;13;65;83;97;58;55;76;32;57;88;1;88;40;78;51;21;28;36;61;15;34;95;44;83;51;91;45;50;93;95;47;46;27;11;41;21;46;67;66;4;14;71;4;25;76;16;75;77;41;16;95;98;46;77;50;29;100;8;94;97;1;73;83;16;36;28;80;100;92;40;94;76;18;19;35;52;71;5;24;43;81;22;14;87;9;16;48;33;87;100;16
8;blue Sharable;frame Steel Robust;Supervisor zero Indiana;card incremental XML;91;69;55;22;18;4;94;49;1;38;36;6;35;9;43;37;15;55;35;9;26;47;52;100;86;91;71;66;20;23;64;64;27;19;10;54;30;62;5;65;12;34;67;17;97;18;59;39;74;46;66;54;20;71;26;43;25;49;21;57;1;85;49;22;55;82;16;59;49;82;19;99;54;42;37;57;84;13;98;17;90;48;90;75;11;98;67;93;58;80;10;13;59;55;84;34;29;15;23;86;35;61;56;69;36;8;92;49;7;63;2;98;28;31;11;99;49;52;8;84;12;88;1;31;24;67;32;40;24;16;88;49;39;40;31;85;22;97;69;9;49
9;Small Fantastic Lead;Spain Tactics haptic;alarm Lock orchestrate;1080p Chicken;44;34;28;61;39;97;16;57;91;55;64;10;36;64;77;46;91;79;30;71;51;1;15;44;31;100;59;75;85;91;76;2;65;58;30;18;56;51;31;25;11;62;26;38;64;12;88;14;45;81;30;87;81;44;77;36;71;5;97;39;28;83;23;35;60;99;93;27;8;49;56;60;57;39;68;95;43;33;38;91;75;78;66;70;34;58;17;26;26;72;71;50;42;60;34;35;46;76;90;68;3;100;20;28;78;9;84;17;2;49;28;63;88;16;1;89;43;64;84;95;12;62;87;73;11;7;92;26;1;91;67;11;8;50;73;25;78;96;60;24;90
10;iterate Borders Leone;Implemented South Granite;Bike Sports Plastic;SQL;36;28;31;89;75;100;58;18;25;4;21;100;32;85;20;49;89;89;63;23;30;94;79;67;29;3;91;82;26;27;37;61;38;47;76;71;93;89;60;44;99;29;8;57;3;82;93;1;24;84;5;73;5;89;28;99;2;89;43;68;75;17;80;83;67;45;67;89;5;58;73;92;13;35;42;8;54;30;74;82;29;39;82;32;21;89;92;24;92;8;86;20;75;68;90;13;98;86;62;36;76;41;77;90;32;5;91;40;99;1;20;87;37;85;72;6;75;71;42;59;96;27;12;9;97;62;23;76;80;26;15;22;43;95;60;38;98;71;68;13;70
